card;upright;reversed;symbolism
00-thefool.jpg;Beginnings, innocence, spontaneity, a free spirit, originality, adventure, idealism, the unknown, potential.;Recklessness, carelessness, negligence, naivety, foolishness, distraction, apathy, poor judgment, risk-taking.;"The Fool is depicted as a young man with a knapsack, standing on the edge of a cliff. He is looking upwards, towards the sky, seemingly unaware of the precipice at his feet. The white sun shines above him, representing the conscious and the rational, while the cliff represents the unknown future. His bag on a stick contains his worldly possessions, suggesting he has all he needs. The white rose in his other hand symbolizes purity and innocence. The small white dog at his heels represents loyalty and protection, and also tries to warn him of the dangers ahead. The mountains in the background symbolize the challenges he will face."
01-themagician.jpg;Manifestation, resourcefulness, power, inspired action, logic, intellect, concentration, skill, will-power.;Manipulation, poor planning, untapped talents, deception, trickery, illusion, out of touch, misuse of power.;"The Magician stands with one hand pointing to the sky and the other to the ground, symbolizing his connection between the spiritual and material realms. Above his head is the infinity symbol, representing eternal life and unlimited potential. On the table before him are the symbols of the four suits of the Tarot: a cup, a pentacle, a sword, and a wand, representing the four elements and the tools he has at his disposal. The red and white robes signify his passion and purity of intent. The garden of roses and lilies at his feet represents the blossoming of his desires and aspirations."
02-thehighpriestess.jpg;Intuition, Higher powers, mystery, subconscious mind, spirituality, wisdom, secrets, stillness, inner voice.;Secrets, disconnected from intuition, withdrawal and silence, hidden agendas, repressed feelings, lack of self-trust.;"The High Priestess sits between two pillars, one black (Boaz) and one white (Jachin), representing duality and the balance between opposing forces. The 'B' and 'J' on the pillars stand for Boaz and Jachin, which were the pillars at the entrance to Solomon's Temple. She wears a crown of the waxing, full, and waning moon, symbolizing her connection to the divine feminine and the cycles of nature. The cross on her chest represents the four elements. The scroll in her lap, partially hidden, is the Torah, representing esoteric knowledge and the divine law. The pomegranate-adorned veil behind her signifies the veil between the conscious and subconscious minds, and the pomegranates themselves represent fertility, abundance, and the divine feminine."
03-theempress.jpg;Femininity, beauty, nature, nurturing, abundance, fertility, creation, sensuality, mothering, harmony.;Creative block, dependence on others, smothering, emptiness, nosiness, neglect, stagnation, infertility.;"The Empress is a figure of maternal abundance and the creative power of nature. She sits on a luxurious throne in a lush, fertile landscape. She wears a crown of twelve stars, representing the twelve signs of the zodiac and her dominion over the cycles of the year. Her robe is decorated with pomegranates, symbolizing fertility. The shield with the symbol of Venus at her side represents love, beauty, and creativity. The field of wheat at her feet signifies a bountiful harvest and nourishment. The forest and stream in the background represent the abundance and flow of life."
04-theemperor.jpg;Authority, structure, control, fatherhood, stability, leadership, a father figure, tradition, solid foundation.;Domination, excessive control, lack of discipline, rigidity, stubbornness, misuse of power, inflexibility.;"The Emperor sits on a stone throne adorned with four ram heads, a symbol of his connection to Aries and the planet Mars, representing his ambition, authority, and leadership. He holds an ankh in one hand, the Egyptian symbol of life, and an orb in the other, representing the world he rules over. His long white beard signifies his wisdom and experience. He wears a suit of armor, suggesting he is protected and in control, but also hinting at his emotional rigidity. The barren mountains behind him represent his unyielding and firm nature, but also the challenges he has overcome."
05-thehierophant.jpg;Spiritual wisdom, religious beliefs, conformity, tradition, institutions, education, guidance, group identity.;Personal beliefs, freedom, challenging the status quo, rebellion, ignorance, new approaches, hypocrisy.;"The Hierophant is the masculine counterpart to The High Priestess. He is a figure of spiritual authority and tradition. He sits on a throne between two pillars, representing the link between the earthly and the divine. He wears a triple crown, symbolizing his authority over the three realms (conscious, subconscious, and superconscious). In his left hand, he holds the Papal Cross, a triple scepter, signifying his religious authority. He raises his right hand in a sign of benediction. At his feet kneel two acolytes, representing the transfer of sacred knowledge and the importance of guidance from a trusted source. The crossed keys at his feet are the keys to the kingdom of heaven, symbolizing his role as a spiritual guide."
06-thelovers.jpg;Love, harmony, relationships, values alignment, choices, a union, partnership, communication, attraction.;Disharmony, imbalance, misalignment of values, conflict, poor choices, relationship issues, indecision.;"The Lovers card depicts Adam and Eve in the Garden of Eden. Above them, the angel Raphael blesses their union. The woman (Eve) stands before the Tree of Knowledge of Good and Evil, with the serpent of temptation coiled around it. The man (Adam) stands before the Tree of Life, which bears flames representing the twelve signs of the zodiac and his passion. The serpent and the tree of knowledge represent the temptations and choices that can lead to both wisdom and discord. The angel's presence suggests that their union is divinely blessed, but also that they are being watched over and guided. The mountain in the background represents the challenges that lie ahead in their relationship."
07-thechariot.jpg;Control, willpower, success, action, determination, victory, ambition, focus, travel.;Lack of control and direction, opposition, lack of direction, self-discipline, aggression, obstacles.;"The Charioteer stands confidently in his chariot, under a canopy of stars. He holds a wand, a symbol of his will, but no reins, indicating that he controls the chariot through sheer force of will. The two sphinxes, one black and one white, represent the opposing forces that he must control and guide. The celestial canopy above him shows his connection to divine will. The city in the background represents the civilization he has left behind to forge his own path. The square on his tunic represents the element of earth and his connection to the material world, while the laurels and stars on his crown signify victory and success."
08-strength.jpg;Strength, courage, compassion, focus, patience, control, inner strength, persuasion, influence.;Inner strength, self-doubt, weakness, insecurity, lack of self-control, raw emotion, forcefulness.;"A woman gently closes the mouth of a lion. She is calm and composed, demonstrating that true strength lies in compassion and gentleness, not brute force. Above her head is the infinity symbol, representing her infinite potential and spiritual power. She wears a white robe, symbolizing her purity of spirit, and a belt and crown of flowers, representing her connection to nature and the beauty of life. The lion represents our primal instincts, passions, and desires. Her ability to tame the lion without force shows her mastery over her own inner beast."
09-thehermit.jpg;Soul-searching, introspection, being alone, inner guidance, wisdom, contemplation, spiritual enlightenment.;Isolation, loneliness, withdrawal, paranoia, being reclusive, fear of the unknown.;"The Hermit stands alone on a mountaintop, holding a lantern containing a shining star. He represents the wisdom that can be found in solitude and introspection. His long gray beard and robes signify his wisdom and experience. The lantern he holds is the lamp of truth, containing a six-pointed star (the Seal of Solomon), which represents wisdom. The staff in his other hand is a symbol of his power and authority, and it helps him navigate the difficult path of self-discovery. The snow-covered mountain peak represents the challenges and isolation of his journey, as well as the purity of his quest for knowledge."
