方剂名称,方剂名称的url
麻黄汤,https://zhongyibaike.com/wiki/麻黄汤
葛根汤,https://zhongyibaike.com/wiki/葛根汤
葛根加半夏汤,https://zhongyibaike.com/wiki/葛根加半夏汤
麻黄加术汤,https://zhongyibaike.com/wiki/麻黄加术汤
桂枝甘草汤,https://zhongyibaike.com/wiki/桂枝甘草汤
桂枝加附子汤,https://zhongyibaike.com/wiki/桂枝加附子汤
桂枝新加汤,https://zhongyibaike.com/wiki/桂枝新加汤
栝楼桂枝汤,https://zhongyibaike.com/wiki/栝楼桂枝汤
桂枝去芍药汤,https://zhongyibaike.com/wiki/桂枝去芍药汤
桂枝去芍药加附子汤,https://zhongyibaike.com/wiki/桂枝去芍药加附子汤
桂枝麻黄各半汤,https://zhongyibaike.com/wiki/桂枝麻黄各半汤
桂枝二麻黄一汤,https://zhongyibaike.com/wiki/桂枝二麻黄一汤
麻黄杏仁薏苡甘草汤,https://zhongyibaike.com/wiki/麻黄杏仁薏苡甘草汤
华盖散,https://zhongyibaike.com/wiki/华盖散
三拗汤,https://zhongyibaike.com/wiki/三拗汤
大青龙汤,https://zhongyibaike.com/wiki/大青龙汤
桂枝汤,https://zhongyibaike.com/wiki/桂枝汤
桂枝加葛根汤,https://zhongyibaike.com/wiki/桂枝加葛根汤
桂枝加厚朴杏子汤,https://zhongyibaike.com/wiki/桂枝加厚朴杏子汤
桂枝二越婢一汤,https://zhongyibaike.com/wiki/桂枝二越婢一汤
桂枝加桂汤,https://zhongyibaike.com/wiki/桂枝加桂汤
桂枝加芍药汤,https://zhongyibaike.com/wiki/桂枝加芍药汤
桂枝加大黄汤,https://zhongyibaike.com/wiki/桂枝加大黄汤
九味羌活汤,https://zhongyibaike.com/wiki/九味羌活汤
大羌活汤,https://zhongyibaike.com/wiki/大羌活汤
止嗽散,https://zhongyibaike.com/wiki/止嗽散
金沸草散,https://zhongyibaike.com/wiki/金沸草散
香苏散,https://zhongyibaike.com/wiki/香苏散
加味香苏散,https://zhongyibaike.com/wiki/加味香苏散
香苏葱豉汤,https://zhongyibaike.com/wiki/香苏葱豉汤
通宣理肺丸,https://zhongyibaike.com/wiki/通宣理肺丸
正柴胡饮,https://zhongyibaike.com/wiki/正柴胡饮
小青龙汤,https://zhongyibaike.com/wiki/小青龙汤
小青龙加石膏汤,https://zhongyibaike.com/wiki/小青龙加石膏汤
射干麻黄汤,https://zhongyibaike.com/wiki/射干麻黄汤
柴胡桂枝汤,https://zhongyibaike.com/wiki/柴胡桂枝汤
紫正散,https://zhongyibaike.com/wiki/紫正散
银翘散,https://zhongyibaike.com/wiki/银翘散
银翘汤,https://zhongyibaike.com/wiki/银翘汤
桑菊饮,https://zhongyibaike.com/wiki/桑菊饮
麻杏甘石汤,https://zhongyibaike.com/wiki/麻杏甘石汤
柴葛解肌汤,https://zhongyibaike.com/wiki/柴葛解肌汤
升麻葛根汤,https://zhongyibaike.com/wiki/升麻葛根汤
竹叶柳蒡汤,https://zhongyibaike.com/wiki/竹叶柳蒡汤
宣毒发表汤,https://zhongyibaike.com/wiki/宣毒发表汤
葱豉桔梗汤,https://zhongyibaike.com/wiki/葱豉桔梗汤
败毒散,https://zhongyibaike.com/wiki/败毒散
仓廪散,https://zhongyibaike.com/wiki/仓廪散
荆防败毒散,https://zhongyibaike.com/wiki/荆防败毒散
参苏饮,https://zhongyibaike.com/wiki/参苏饮
麻黄细辛附子汤,https://zhongyibaike.com/wiki/麻黄细辛附子汤
再造散,https://zhongyibaike.com/wiki/再造散
麻黄附子甘草汤,https://zhongyibaike.com/wiki/麻黄附子甘草汤
加减葳蕤汤,https://zhongyibaike.com/wiki/加减葳蕤汤
千金葳蕤汤,https://zhongyibaike.com/wiki/千金葳蕤汤
葱白七味饮,https://zhongyibaike.com/wiki/葱白七味饮
小续命汤,https://zhongyibaike.com/wiki/小续命汤
续命汤,https://zhongyibaike.com/wiki/续命汤
大承气汤,https://zhongyibaike.com/wiki/大承气汤
小承气汤,https://zhongyibaike.com/wiki/小承气汤
调胃承气汤,https://zhongyibaike.com/wiki/调胃承气汤
复方大承气汤,https://zhongyibaike.com/wiki/复方大承气汤
阑尾清化汤,https://zhongyibaike.com/wiki/阑尾清化汤
阑尾清解汤,https://zhongyibaike.com/wiki/阑尾清解汤
大陷胸丸,https://zhongyibaike.com/wiki/大陷胸丸
大陷胸汤,https://zhongyibaike.com/wiki/大陷胸汤
大黄牡丹汤,https://zhongyibaike.com/wiki/大黄牡丹汤
清肠饮,https://zhongyibaike.com/wiki/清肠饮
阑尾化瘀汤,https://zhongyibaike.com/wiki/阑尾化瘀汤
厚朴三物汤,https://zhongyibaike.com/wiki/厚朴三物汤
厚朴大黄汤,https://zhongyibaike.com/wiki/厚朴大黄汤
大黄附子汤,https://zhongyibaike.com/wiki/大黄附子汤
三物备急丸,https://zhongyibaike.com/wiki/三物备急丸
三物白散,https://zhongyibaike.com/wiki/三物白散
温脾汤,https://zhongyibaike.com/wiki/温脾汤
五仁丸,https://zhongyibaike.com/wiki/五仁丸
麻子仁丸,https://zhongyibaike.com/wiki/麻子仁丸
赭遂攻结汤,https://zhongyibaike.com/wiki/赭遂攻结汤
济川煎,https://zhongyibaike.com/wiki/济川煎
五仁润肠丸,https://zhongyibaike.com/wiki/五仁润肠丸
控涎丹,https://zhongyibaike.com/wiki/控涎丹
十枣汤,https://zhongyibaike.com/wiki/十枣汤
舟车丸,https://zhongyibaike.com/wiki/舟车丸
疏凿饮子,https://zhongyibaike.com/wiki/疏凿饮子
己椒苈黄丸,https://zhongyibaike.com/wiki/己椒苈黄丸
越婢汤,https://zhongyibaike.com/wiki/越婢汤
樟柳散,https://zhongyibaike.com/wiki/樟柳散
珍珀活命丹,https://zhongyibaike.com/wiki/珍珀活命丹
越婢加半夏汤,https://zhongyibaike.com/wiki/越婢加半夏汤
泽漆汤,https://zhongyibaike.com/wiki/泽漆汤
一物瓜蒂汤,https://zhongyibaike.com/wiki/一物瓜蒂汤
新加黄龙汤,https://zhongyibaike.com/wiki/新加黄龙汤
增液承气汤,https://zhongyibaike.com/wiki/增液承气汤
黄龙汤,https://zhongyibaike.com/wiki/黄龙汤
承气养营汤,https://zhongyibaike.com/wiki/承气养营汤
小柴胡汤,https://zhongyibaike.com/wiki/小柴胡汤
柴胡枳桔汤,https://zhongyibaike.com/wiki/柴胡枳桔汤
厚朴七物汤,https://zhongyibaike.com/wiki/厚朴七物汤
大柴胡汤,https://zhongyibaike.com/wiki/大柴胡汤
蒿芩清胆汤,https://zhongyibaike.com/wiki/蒿芩清胆汤
达原饮,https://zhongyibaike.com/wiki/达原饮
清脾饮,https://zhongyibaike.com/wiki/清脾饮
柴胡达原饮,https://zhongyibaike.com/wiki/柴胡达原饮
四逆散,https://zhongyibaike.com/wiki/四逆散
柴胡疏肝散,https://zhongyibaike.com/wiki/柴胡疏肝散
枳实芍药散,https://zhongyibaike.com/wiki/枳实芍药散
芍药甘草汤,https://zhongyibaike.com/wiki/芍药甘草汤
增损逍遥散,https://zhongyibaike.com/wiki/增损逍遥散
黑逍遥散,https://zhongyibaike.com/wiki/黑逍遥散
加味逍遥散,https://zhongyibaike.com/wiki/加味逍遥散
逍遥散,https://zhongyibaike.com/wiki/逍遥散
当归芍药散,https://zhongyibaike.com/wiki/当归芍药散
痛泻要方,https://zhongyibaike.com/wiki/痛泻要方
开郁种玉汤,https://zhongyibaike.com/wiki/开郁种玉汤
白芍甘草汤,https://zhongyibaike.com/wiki/白芍甘草汤
七白散,https://zhongyibaike.com/wiki/七白散
半夏泻心汤,https://zhongyibaike.com/wiki/半夏泻心汤
生姜泻心汤,https://zhongyibaike.com/wiki/生姜泻心汤
甘草泻心汤,https://zhongyibaike.com/wiki/甘草泻心汤
黄连汤,https://zhongyibaike.com/wiki/黄连汤
附子泻心汤,https://zhongyibaike.com/wiki/附子泻心汤
白虎汤,https://zhongyibaike.com/wiki/白虎汤
白虎加人参汤,https://zhongyibaike.com/wiki/白虎加人参汤
白虎加桂枝汤,https://zhongyibaike.com/wiki/白虎加桂枝汤
白虎加苍术汤,https://zhongyibaike.com/wiki/白虎加苍术汤
竹叶石膏汤,https://zhongyibaike.com/wiki/竹叶石膏汤
栀子甘草豉汤,https://zhongyibaike.com/wiki/栀子甘草豉汤
栀子豉汤,https://zhongyibaike.com/wiki/栀子豉汤
栀子生姜豉汤,https://zhongyibaike.com/wiki/栀子生姜豉汤
栀子厚朴汤,https://zhongyibaike.com/wiki/栀子厚朴汤
清营汤,https://zhongyibaike.com/wiki/清营汤
清宫汤,https://zhongyibaike.com/wiki/清宫汤
犀角地黄汤,https://zhongyibaike.com/wiki/犀角地黄汤
化斑汤,https://zhongyibaike.com/wiki/化斑汤
神犀丹,https://zhongyibaike.com/wiki/神犀丹
清经散,https://zhongyibaike.com/wiki/清经散
清血养阴汤,https://zhongyibaike.com/wiki/清血养阴汤
防己地黄汤,https://zhongyibaike.com/wiki/防己地黄汤
脏头丸,https://zhongyibaike.com/wiki/脏头丸
照水丹,https://zhongyibaike.com/wiki/照水丹
黄连解毒汤,https://zhongyibaike.com/wiki/黄连解毒汤
珍宝散,https://zhongyibaike.com/wiki/珍宝散
针头丸,https://zhongyibaike.com/wiki/针头丸
泻心汤,https://zhongyibaike.com/wiki/泻心汤
甘草汤,https://zhongyibaike.com/wiki/甘草汤
栀子金花汤,https://zhongyibaike.com/wiki/栀子金花汤
增明丸,https://zhongyibaike.com/wiki/增明丸
清瘟败毒饮,https://zhongyibaike.com/wiki/清瘟败毒饮
