中药名称,中药名称对应的URL
羌活,https://zhongyibaike.com/wiki/羌活
细辛,https://zhongyibaike.com/wiki/细辛
藁本,https://zhongyibaike.com/wiki/藁本
葱白,https://zhongyibaike.com/wiki/葱白
葱叶,https://zhongyibaike.com/wiki/葱叶
鹅不食草,https://zhongyibaike.com/wiki/鹅不食草
葱须,https://zhongyibaike.com/wiki/葱须
防风,https://zhongyibaike.com/wiki/防风
荆芥,https://zhongyibaike.com/wiki/荆芥
麻黄,https://zhongyibaike.com/wiki/麻黄
桂枝,https://zhongyibaike.com/wiki/桂枝
紫苏叶,https://zhongyibaike.com/wiki/紫苏叶
香薷,https://zhongyibaike.com/wiki/香薷
生姜,https://zhongyibaike.com/wiki/生姜
白芷,https://zhongyibaike.com/wiki/白芷
苍耳子,https://zhongyibaike.com/wiki/苍耳子
辛夷,https://zhongyibaike.com/wiki/辛夷
杜衡,https://zhongyibaike.com/wiki/杜衡
生藤,https://zhongyibaike.com/wiki/生藤
芫荽子,https://zhongyibaike.com/wiki/芫荽子
薄荷,https://zhongyibaike.com/wiki/薄荷
牛蒡子,https://zhongyibaike.com/wiki/牛蒡子
蝉蜕,https://zhongyibaike.com/wiki/蝉蜕
桑叶,https://zhongyibaike.com/wiki/桑叶
菊花,https://zhongyibaike.com/wiki/菊花
胡荽,https://zhongyibaike.com/wiki/胡荽
柽柳,https://zhongyibaike.com/wiki/柽柳
蔓荆子,https://zhongyibaike.com/wiki/蔓荆子
柴胡,https://zhongyibaike.com/wiki/柴胡
升麻,https://zhongyibaike.com/wiki/升麻
葛根,https://zhongyibaike.com/wiki/葛根
淡豆豉,https://zhongyibaike.com/wiki/淡豆豉
大豆黄卷,https://zhongyibaike.com/wiki/大豆黄卷
浮萍,https://zhongyibaike.com/wiki/浮萍
木贼,https://zhongyibaike.com/wiki/木贼
蕤仁,https://zhongyibaike.com/wiki/蕤仁
酒瓶花,https://zhongyibaike.com/wiki/酒瓶花
青鱼胆草,https://zhongyibaike.com/wiki/青鱼胆草
石防风,https://zhongyibaike.com/wiki/石防风
东南长蒴苣苔,https://zhongyibaike.com/wiki/东南长蒴苣苔
羊舌树,https://zhongyibaike.com/wiki/羊舌树
九仙草,https://zhongyibaike.com/wiki/九仙草
樱桃核,https://zhongyibaike.com/wiki/樱桃核
茉莉叶,https://zhongyibaike.com/wiki/茉莉叶
金蝉花,https://zhongyibaike.com/wiki/金蝉花
苦丁茶,https://zhongyibaike.com/wiki/苦丁茶
石膏,https://zhongyibaike.com/wiki/石膏
寒水石,https://zhongyibaike.com/wiki/寒水石
